,name,price,rating,wifi,GPS,NFC,voice_calling,Bluetooth,Bluetooth_calling,display_size_inches,Touch,ram_gb,memory_inbuilt,water_resistance,dust_proof,scratch_resistance,heart_rate_monitor,Blood_Pressure_monitor,calorie_count,sleep_monitor,step_count,Pedometer,Blood_oxygen,Altimeter,alarm_clock,stopwatch,reminder,timer,battery
0,OnePlus Watch 2,24999,4.35,True,True,True,False,Bluetooth 5.0,True,1.43,True,2.0,32.0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,
1,Fire Boltt Dream WristPhone Smartwatch,6999,4.25,True,True,False,True,Bluetooth 5.0,False,2.02,True,2.0,16.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,
2,Samsung Galaxy Watch 4 Classic LTE 46mm,10999,4.35,True,True,True,False,Bluetooth 5.0,False,1.4,True,1.5,16.0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,
3,Fastrack Optimus Pro Smartwatch,2299,4.35,False,False,False,False,Bluetooth 5.2,True,1.43,True,,,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,7days Battery
4,Oppo Watch X,12999,4.05,True,True,True,False,Bluetooth 5.0,True,1.43,True,2.0,32.0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,
5,Noise NoiseFit Venture Smartwatch,1499,4.45,False,False,False,False,Bluetooth 5.2,True,1.39,True,,,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,7days Battery
6,Fire Boltt Sphere Smartwatch,1299,4.35,False,False,False,False,Bluetooth 5.0,True,1.6,True,,,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,
7,Alt OG Ultra Smartwatch,900,4.6,False,False,False,False,Bluetooth,True,1.93,True,1.0,2.0,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,
8,Xiaomi Redmi Watch 4,8799,4.0,False,True,False,False,Bluetooth 5.3,True,1.97,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
9,Fastrack Revoltt FS1 Pro Smartwatch,1999,4.75,False,False,False,False,Bluetooth 5.2,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
10,Fire Boltt Oracle WristPhone,24999,4.25,True,True,False,True,Bluetooth 5.0,False,1.96,True,2.0,16.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,
